#90	-1	cplex	2	10440	1816261623195	656730	636599 ERROR
#100	-1	cplex	2	7410	1990590597688	662367	648842 ERROR
#110	-1	cplex	2	5243	1792247966711	664982	655158 ERROR
PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	cplex	2	0	680077496	0	0
20	-1	cplex	2	4	382115046	5	0
30	-1	cplex	2	56	2053533340	121	52
40	-1	cplex	2	104	5241474266	445	280
50	-1	cplex	2	248	14066942866	1897	1492
60	-1	cplex	2	536	42943897898	8533	7516
70	-1	cplex	2	1568	154519654593	37921	35044
80	-1	cplex	2	4208	529066337761	161929	154348
90	-1	cplex	2	10736	2294629100906	683101	662404
