PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns);
60	1000	cplex	0	536	272334127102
60	1000	cplex	1	536	86390090919
60	1000	cplex	2	536	44028819585
60	1000	cplex	3	536	81773316720
60	1000	cplex	4	536	97189580520
60	1000	cplex	5	536	116974996822
60	1000	cplex	6	536	128448198304
60	1000	cplex	7	536	123700366666
60	1000	cplex	8	536	128843332602
60	1000	cplex	9	536	117218722491
60	1000	cplex	10	536	128740040145
60	1000	cplex	11	536	124085307211
60	1000	cplex	12	536	114963595373
60	1000	cplex	13	536	123480086436
60	1000	cplex	14	536	121160883575
60	1000	cplex	15	536	120831077693
60	1000	cplex	16	536	119343169313
60	1000	cplex	17	536	115223307990
60	1000	cplex	18	536	132373463666
60	1000	cplex	19	536	121858696287
