PATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
10	-1	lpsolve	2	0	1921210377	0	0
20	-1	lpsolve	2	4	473227463	5	0
30	-1	lpsolve	2	56	1459609252	121	52
40	-1	lpsolve	2	104	3465227843	445	280
50	-1	lpsolve	2	248	9780467629	1897	1492
60	-1	lpsolve	2	536	33790636520	8533	7516
70	-1	lpsolve	2	1568	122087027261	37921	35044
80	-1	lpsolve	2	4208	531775677355	161929	154348
90	-1	lpsolve	2	10736	1912161092541	683101	662404
100	-1	lpsolve	2	31496	8065272320923	2849881	2792272
110	-1	lpsolve	2	83000	47559000000000	2849881	2792272
