#Activity: cppTestModels::triangleClassificator::TriangleClassificator::classifyNoLogicPATHSEARCH_MAX_PATHLENGTH	PATHSEARCH_MAX_NO_PATHS	PATHSEARCH_SOLVER	PATHSEARCH_UNCHECKED_STEPS	PathsFound	time(ns)	PATHSEARCH_TOTAL_SOLVER_RUNS	PATHSEARCH_INFEASIBLE_PATHS_ELIMINATED
0	-1	cplex	2	0	54759324	0	0
10	-1	cplex	2	6	114717097	7	0
20	-1	cplex	2	19	450502951	24	4
30	-1	cplex	2	19	325939482	24	4
40	-1	cplex	2	19	371554845	24	4
50	-1	cplex	2	19	429848405	24	4
60	-1	cplex	2	19	337451432	24	4
70	-1	cplex	2	19	400630121	24	4
80	-1	cplex	2	19	344090881	24	4
90	-1	cplex	2	19	415245578	24	4
